sid;bid;uid
14;0;0
16;17995574732975505407;d0b8923f9dd875e3b5f42fc8
17;17628373158224461823;480b24d01660728f9cec2b77
32;17995654155510743039;08f1f1f5ee55f5cb88db7310
36;17942497836369182719;0a46dc0f82b5255f3062127a
163;18015557265888641023;5ffb18160dee5c5f6f4760ca
1202;;
1256;372356192482738184;45ad95a30645e65bbe48424e
2184;135603198540224511;df95f91c9c62cbb438221c0e
2193;;
2356;17660522332759785471;f44609189e665d17b01e36af
2618;17672710711211458559;b533ea4a432a3a3c4f6d46f8
2658;12749866500166574262;d7f8273bb686afc917c9059c
2821;0;0
2829;18010339816926871551;09185c5671b5995df119377d
2848;17765730523751796528;b44a7dd0e4b5370326d2bb5a
2852;;
2853;0;0
2855;2146264046917031611;7f8873606def90761df74d31
2877;0;0
2891;0;0
2900;15027463541382407240;0b357bd43dcc990ecae33c3d
2901;485004236087022961;090ef41feabf5ebf2b06ce1a
2902;9692898969296899132;152cdfdac04c75e6f4b91642
2903;13784226578092401873;e41eb1fb40abb0b82fb96db2
2907;4139154922163564747;c0c9285294eab8abb21e364e
2910;18003186278312443903;33fbfa83eb2f8dc10bf5ebd7
2914;17150367936870461636;7296cf632a64a037c51e514e
2915;0;0
2925;1261738594154840063;08fc93dfbd9c9c889b68b459
2943;5273437398284659370;3d9a4c4a089fd34d88b9881c
2948;13139773086201938572;913a853bba1678e115a190a6
2977;16737480418706000447;dc1fed5e446eb7b705fef567
3109;18010176904522366975;6fddd7fded24f97f3517dce9
3183;0;0
3186;17995836438217752575;5508504d3af9e7cac7f025fa
3267;18005810825452847103;2cc3c8e8424985d64d2fdf6a
3268;1262668179696517119;f5e3bcae83eabbd85f17c3ea
3339;18014896244651982847;2a7a25ecf9cf13636d3e1bad
3490;1266270544861331455;06d2dffda107b0ef89f15db6
3495;17829818063688564735;d5f93c0e977e385feddfca27
3497;11168662261122746086;45ef9a2b5508cbfda2d230e6
3502;508559352407017795;c9b5fb91d49345bc5d0d0262
3507;18014659871126847487;91c13f93bcdcccfa20f0179a
3509;18014813811344670719;0a46dc0f83a2265e30621266
3512;18015058164919042047;4bb049d91598944799005000
3521;6106353448263079230;62d852adf09e449a2fb17ef5
3525;10310520154542602253;4b622bba5f9b4d2781a12e0a
3526;0;0
3528;0;0
3562;6190457149942279329;99286df9b2afe3c9fa0cadd9
3563;;
3564;0;0
3579;17751192519762247679;4ea3f2f1ebeb76d6afcb668c
3611;0;0
3624;10468842806316712643;0174a8e582b9cd8fbea2407b
3630;18015055828456833023;bb1d38e4ec95cc4d0c0a7002
3714;0;0
4122;2126685302102745136;83fe13a5615a8184441a322e
4159;17992635940257923071;50f7d146afaed8c572210b5b
8393;1260651297414053887;db1f39d4abbe2676f4c59cbc
8415;17627421359111929855;4bb049d9b2f17539990050d1
8505;9624770023490371823;10676661bbfbe62846e27499
9669;11887490666726077076;aca1a488d35ede9ae115f97d
10384;17998543238276841471;925c550f5cb5c3b25a3ac854
10385;17836115160054366207;9ee7cc788c82397316c90546
11855;3179766885139585617;1ded4d8b7e492f77b35c6acf
12065;17992635287422894079;d305db1ff09d2b3f932ca35b
12068;15673747694266102591;a65b5e304bbb6a3aff0eb076
12440;7970633090275873215;e31c3fad65d165b02cb17e4c
12899;;
13470;17992911939151331327;eb367503447bf01a00ec0156
13591;2477149819815085884;bb052ff14f1bf87331870aec
16590;7204521925973546213;ad69ce39e0783f14f4e73b80
16773;10424561557801501908;a7c14700f6a5421ead045793
18815;;
50596;5097096414242365553;570ecb0dac26c7991f3894c1
50597;18011911946755899391;f696f3c2f3f138eb1b11d5d7
51062;18011828882088394751;5ffb1816032d4e5f6e47608b
51747;1264212070115573759;0a46dc0f194ad84730621266
149351;;
